DIA,MES,ANO,HORA,VELOCIDAD VIENTO,DIR. VIENTO,TEMPERATURA,HUMEDAD RELATIVA,PRESION BARIOMETRICA,PRECIPITACIONES
1,3,2020,19,2.8,223.0,12.7,80,941,0.0
1,3,2020,20,1.93,183.0,11.8,89,941,0.0
1,3,2020,21,2.25,215.0,11.6,89,941,0.0
1,3,2020,22,2.29,197.0,11.6,89,940,0.0
1,3,2020,23,2.03,197.0,11.4,91,939,0.0
1,3,2020,24,2.69,197.0,11.2,92,938,0.0
1,3,2021,1,1.41,65.0,8.8,69,950,0.0
1,3,2021,2,1.41,62.0,8.5,68,950,0.0
1,3,2021,3,1.44,83.0,8.2,68,950,0.0
1,3,2021,4,2.03,59.0,8.2,69,950,0.0
1,3,2021,5,1.73,68.0,8.0,70,950,0.0
1,3,2021,6,1.61,68.0,8.2,69,950,0.0
1,3,2021,7,1.42,69.0,8.6,67,950,0.0
1,3,2021,8,1.76,63.0,8.6,68,950,0.0
1,3,2021,9,1.3,59.0,8.9,68,950,0.0
1,3,2021,10,1.83,72.0,8.9,67,950,0.0
1,3,2021,11,2.09,69.0,8.7,68,951,0.0
1,3,2021,12,1.71,67.0,8.9,68,951,0.0
1,3,2021,13,1.76,69.0,9.0,69,951,0.0
1,3,2021,14,1.72,71.0,9.2,71,950,0.0
1,3,2021,15,1.64,64.0,9.5,73,950,0.0
1,3,2021,16,1.77,66.0,9.8,72,949,0.0
1,3,2021,17,1.86,67.0,10.1,72,949,0.0
1,3,2021,18,1.23,69.0,10.3,72,949,0.0
1,3,2021,19,0.99,51.0,10.5,72,950,0.0
1,3,2021,20,0.88,28.0,10.2,76,950,0.0
1,3,2021,21,1.21,63.0,10.3,73,951,0.0
1,3,2021,22,1.28,115.0,10.4,72,951,0.0
1,3,2021,23,1.11,73.0,10.2,73,951,0.0
1,3,2021,24,0.8,77.0,10.2,74,952,0.0
1,4,2019,1,1.35,69.0,10.2,80,943,0.0
1,4,2019,2,1.39,74.0,9.9,82,943,0.0
1,4,2019,3,1.32,75.0,9.7,83,943,0.0
1,4,2019,4,1.21,69.0,9.7,83,943,0.0
1,4,2019,5,1.05,67.0,9.6,82,943,0.0
1,4,2019,6,0.74,83.0,9.9,79,943,0.0
1,4,2019,7,0.81,74.0,9.8,81,942,0.0
1,4,2019,8,0.82,78.0,9.7,80,943,0.0
1,4,2019,9,1.16,62.0,9.8,79,943,0.0
1,4,2019,10,1.15,67.0,10.1,79,943,0.0
1,4,2019,11,1.03,78.0,10.8,77,944,0.0
